ROUND,RESULTS,DATE,W/D/L
Jornada 1,SD ESPANYOL B 0 - 5 C.E.DMS  A,2022/10/15,L
Jornada 2,FUNDACIÓ FUTBOL BADALONA A 4 - 8 SD ESPANYOL B,2022/10/22,W
Jornada 3,SD ESPANYOL B 1 - 1 AELIS-SAGE PARTNER EIXAMPLE B,2022/10/29,D
Jornada 4,"FUTSAL CLASSIC BARCELONA, CLUB ESPORTIU  A 3 - 5 SD ESPANYOL B",2022/11/05,W
Jornada 5,SD ESPANYOL B 7 - 3 SANT ANDREU SAGRERA - AESA A,2022/11/12,W
Jornada 6,PLAY FUTSAL A 6 - 4 SD ESPANYOL B,2022/11/19,L
Jornada 7,SD ESPANYOL B 5 - 6 ALZINA ASSOC. ESP. A,2022/11/26,L
Jornada 8,MONTSENY CECD A 2 - 5 SD ESPANYOL B,2022/12/03,W
Jornada 9,SD ESPANYOL B 0 - 3 MAGIC SANTS FUTSAL B,2022/12/17,L
Jornada 10,F.S  BOSCO ROCAFORT A 7 - 4 SD ESPANYOL B,2023/01/14,L
Jornada 11,SD ESPANYOL B 0 - 4 FUTSAL ROSARIO CENTRAL A,2023/01/21,L
Jornada 12,BADALONA FUTSAL IRIS A 5 - 2 SD ESPANYOL B,2023/02/04,L
Jornada 13,LES CORTS ESPORTIU FUTSAL B 2 - 6 SD ESPANYOL B,2023/02/11,W
Jornada 14,C.E.DMS  A 6 - 6 SD ESPANYOL B,2023/02/25,D
Jornada 15,SD ESPANYOL B 4 - 3 FUNDACIÓ FUTBOL BADALONA A,2023/03/04,W
Jornada 16,AELIS-SAGE PARTNER EIXAMPLE B 4 - 6 SD ESPANYOL B,2023/03/11,W
Jornada 17,"SD ESPANYOL B 9 - 3 FUTSAL CLASSIC BARCELONA, CLUB ESPORTIU  A",2023/03/18,W
Jornada 18,SANT ANDREU SAGRERA - AESA A 5 - 3 SD ESPANYOL B,2023/03/25,L
Jornada 19,SD ESPANYOL B 7 - 7 PLAY FUTSAL A,2023/04/01,D
Jornada 20,ALZINA ASSOC. ESP. A 7 - 5 SD ESPANYOL B,2023/04/15,L
Jornada 21,SD ESPANYOL B 9 - 5 MONTSENY CECD A,2023/04/22,W
Jornada 22,MAGIC SANTS FUTSAL B 3 - 5 SD ESPANYOL B,2023/04/29,W
Jornada 23,SD ESPANYOL B 3 - 4 F.S  BOSCO ROCAFORT A,2023/05/06,L
Jornada 24,FUTSAL ROSARIO CENTRAL A 1 - 3 SD ESPANYOL B,2023/05/13,W
Jornada 25,SD ESPANYOL B 4 - 7 BADALONA FUTSAL IRIS A,2023/05/20,L
Jornada 26,SD ESPANYOL B 2 - 1 LES CORTS ESPORTIU FUTSAL B,2023/05/27,W
