jornada,results
"'Jornada 1', '15-10-2022'",SD ESPANYOL B 0 - 5 C.E.DMS  A
"'Jornada 2', '22-10-2022'",FUNDACIÓ FUTBOL BADALONA A 4 - 8 SD ESPANYOL B
"'Jornada 3', '29-10-2022'",SD ESPANYOL B 1 - 1 AELIS-SAGE PARTNER EIXAMPLE B
"'Jornada 4', '05-11-2022'","FUTSAL CLASSIC BARCELONA, CLUB ESPORTIU  A 3 - 5 SD ESPANYOL B"
"'Jornada 5', '12-11-2022'",SD ESPANYOL B 7 - 3 SANT ANDREU SAGRERA - AESA A
"'Jornada 6', '19-11-2022'",PLAY FUTSAL A 6 - 4 SD ESPANYOL B
"'Jornada 7', '26-11-2022'",SD ESPANYOL B 5 - 6 ALZINA ASSOC. ESP. A
"'Jornada 8', '03-12-2022'",MONTSENY CECD A 2 - 5 SD ESPANYOL B
"'Jornada 9', '17-12-2022'",SD ESPANYOL B 0 - 3 MAGIC SANTS FUTSAL B
"'Jornada 10', '14-01-2023'",F.S  BOSCO ROCAFORT A 7 - 4 SD ESPANYOL B
"'Jornada 11', '21-01-2023'",SD ESPANYOL B 0 - 4 FUTSAL ROSARIO CENTRAL A
"'Jornada 12', '04-02-2023'",BADALONA FUTSAL IRIS A 5 - 2 SD ESPANYOL B
"'Jornada 13', '11-02-2023'",LES CORTS ESPORTIU FUTSAL B 2 - 6 SD ESPANYOL B
"'Jornada 14', '25-02-2023'",C.E.DMS  A 6 - 6 SD ESPANYOL B
"'Jornada 15', '04-03-2023'",SD ESPANYOL B 4 - 3 FUNDACIÓ FUTBOL BADALONA A
"'Jornada 16', '11-03-2023'",AELIS-SAGE PARTNER EIXAMPLE B 4 - 6 SD ESPANYOL B
"'Jornada 17', '18-03-2023'","SD ESPANYOL B 9 - 3 FUTSAL CLASSIC BARCELONA, CLUB ESPORTIU  A"
"'Jornada 18', '25-03-2023'",SANT ANDREU SAGRERA - AESA A 5 - 3 SD ESPANYOL B
"'Jornada 19', '01-04-2023'",SD ESPANYOL B 7 - 7 PLAY FUTSAL A
"'Jornada 20', '15-04-2023'",ALZINA ASSOC. ESP. A 7 - 5 SD ESPANYOL B
"'Jornada 21', '22-04-2023'",SD ESPANYOL B 9 - 5 MONTSENY CECD A
"'Jornada 22', '29-04-2023'",MAGIC SANTS FUTSAL B 3 - 5 SD ESPANYOL B
"'Jornada 23', '06-05-2023'",SD ESPANYOL B 3 - 4 F.S  BOSCO ROCAFORT A
"'Jornada 24', '13-05-2023'",FUTSAL ROSARIO CENTRAL A 1 - 3 SD ESPANYOL B
"'Jornada 25', '20-05-2023'",SD ESPANYOL B 4 - 7 BADALONA FUTSAL IRIS A
"'Jornada 26', '27-05-2023'",SD ESPANYOL B 2 - 1 LES CORTS ESPORTIU FUTSAL B
